Formula,P2O5,SiO2,TiO2,Al2O3,V2O3,Cr2O3,MgO,CaO,MnO,FeO,Na2O,K2O,S,Mo,Total,"O=S , Mo",Total,X,Y,Z,Beam X,Beam Y,Comment,Distance (µ),Mean Z,Point#,Date,Geo Specie
1 / 1 . ,0.0487,47.4186,1.0089,15.0304,0.0417,0.0769,10.0577,13.2037,0.1965,10.6526,1.7403,0.0281,0.0074,0.0492,99.5606,0.0059,99.5547,-14335,-25966,182, , ,H9 BIR-1,0,12.7413,1,9/16/2020 16:12,Glass (on the basis of 24 O)
1 / 2 . ,0.0293,46.9662,1.0122,15.2917,0.0863,0.0487,9.8865,13.0939,0.175,10.4461,1.7636,0.0405,0.0042,0.1433,98.9876,0.013,98.9746,-14711,-25966,182, , ,H9 BIR-1,376,12.6789,2,9/16/2020 16:19,Glass (on the basis of 24 O)
1 / 3 . ,0.0467,46.2977,0.9135,14.9446,0.0822,0.0492,9.4792,12.895,0.1657,9.9101,1.7522,0.0287,0.0115,0.7884,97.3645,0.0686,97.2959,-15152,-25917,182, , ,H9 BIR-1,818.47,12.6285,3,9/16/2020 16:25,Glass (on the basis of 24 O)
1 / 4 . ,0.0411,47.2171,0.9865,15.5426,0.0666,0.077,9.83,13.0309,0.1671,10.3075,1.8397,0.0382,0.0063,0.0412,99.1917,0.005,99.1867,-14748,-26127,182, , ,H9 BIR-1,443.27,12.6479,4,9/16/2020 16:31,Glass (on the basis of 24 O)
1 / 5 . ,0.0226,47.3726,0.9897,14.6721,0.0508,0.0637,10.061,13.0754,0.1748,11.0418,1.7034,0.0091,0.0147,0.0008,99.2524,0.0037,99.2487,-14461,-26741,182, , ,H9 BIR-1,785.18,12.7251,5,9/16/2020 16:37,Glass (on the basis of 24 O)
1 / 6 . ,0.0442,47.2391,0.9512,15.2768,0.0599,0.0802,9.9091,13.2241,0.1815,10.4701,1.7704,0.0253,0.0021,0.1176,99.3516,0.0103,99.3413,-14458,-27145,182, , ,H9 BIR-1,1185.4,12.7171,6,9/16/2020 16:43,Glass (on the basis of 24 O)
1 / 7 . ,0.0418,47.492,1.0064,15.797,0.0686,0.0547,9.6469,13.1611,0.176,10.3031,1.8692,0.0239,0,0.0845,99.7251,0.007,99.7181,-14182,-27145,182, , ,H9 BIR-1,1188.89,12.7244,7,9/16/2020 16:49,Glass (on the basis of 24 O)
1 / 8 . ,0.0375,47.5818,1.0398,15.2088,0.0826,0.0564,9.7183,13.1521,0.1554,10.5663,1.7842,0.0324,0.0074,0.1082,99.5311,0.0109,99.5202,-13906,-27145,182, , ,H9 BIR-1,1254.62,12.7437,8,9/16/2020 16:55,Glass (on the basis of 24 O)
1 / 9 . ,0.044,48.0245,0.9603,15.2325,0.0637,0.0519,9.8378,13.0979,0.1785,10.2436,1.7749,0.0215,0.0105,0.0998,99.6413,0.0109,99.6303,-13791,-27265,182, , ,H9 BIR-1,1408.31,12.709,9,9/16/2020 17:01,Glass (on the basis of 24 O)
1 / 10 . ,0.0283,47.7129,0.9511,15.6001,0.0698,0.0824,9.7007,13.1716,0.168,10.2947,1.7361,0.042,0.0063,0.1446,99.7087,0.0136,99.695,-13430,-27412,182, , ,H9 BIR-1,1705.86,12.7428,10,9/16/2020 17:07,Glass (on the basis of 24 O)
2 / 1 . ,0.2727,52.5355,1.6491,19.123,0.0456,0.022,4.2167,8.0733,0.1407,8.4418,3.1683,1.19,0.0032,0.1988,99.0807,0.0174,99.0634,-13945,-18636,147, , ,CR1B_PT1,7340.45,12.3005,11,9/16/2020 17:13,Glass (on the basis of 24 O)
2 / 2 . ,0.3308,53.0271,1.847,18.1557,0.0522,0.0211,4.1844,7.9064,0.1351,8.7373,3.1862,1.2076,0,0.2156,99.0065,0.018,98.9886,-13945,-18780,147, , ,CR1B_PT2,7196.66,12.3346,12,9/16/2020 17:19,Glass (on the basis of 24 O)
2 / 3 . ,0.354,53.2392,2.1461,16.5288,0.0584,0.0201,4.5506,7.5381,0.1335,8.75,3.0527,1.2036,0.0074,0.813,98.3955,0.0696,98.3259,-14300,-18825,147, , ,CR1B_PT3,7141.17,12.4542,13,9/16/2020 17:25,Glass (on the basis of 24 O)
2 / 4 . ,0.3093,53.1224,1.9584,16.7248,0.0365,0.0344,5.0823,7.5521,0.1431,8.7995,2.9517,1.1665,0.0005,0.3891,98.2705,0.0326,98.2379,-14432,-18969,147, , ,CR1B_PT4,6997.76,12.3002,14,9/16/2020 17:31,Glass (on the basis of 24 O)
2 / 5 . ,0.3088,52.771,1.8213,16.9943,0.0423,0.0069,5.2971,7.8834,0.1677,9.2377,3.0619,1.1729,0.0053,0.3529,99.1234,0.0308,99.0926,-14432,-19172,151, , ,CR1B_PT5,6794.76,12.441,15,9/16/2020 17:37,Glass (on the basis of 24 O)
2 / 6 . ,0.3708,52.8208,1.9704,16.7736,0.0489,0.0279,5.2191,7.5165,0.1548,9.0359,3.0212,1.1898,0.0085,0.1849,98.3432,0.0175,98.3257,-14875,-19463,148, , ,CR1B_PT6,6525.47,12.2721,16,9/16/2020 17:43,Glass (on the basis of 24 O)
2 / 7 . ,0.349,52.7503,1.9921,17.5013,0.0515,0.0307,4.6171,7.78,0.151,8.6875,3.0972,1.109,0.0139,0.3839,98.5146,0.0355,98.4791,-13245,-19330,152, , ,CR1B_PT7,6724.99,12.326,17,9/16/2020 17:49,Glass (on the basis of 24 O)
2 / 8 . ,0.3482,53.3061,2.0232,16.3882,0.0498,0.0362,5.0398,7.641,0.1424,9.0245,2.8957,1.1061,0.0043,0.6083,98.6137,0.0518,98.5619,-13056,-19263,153, , ,CR1B_PT8,6823.99,12.4382,18,9/16/2020 17:55,Glass (on the basis of 24 O)
2 / 9 . ,0.3039,52.9086,1.7478,16.2862,0.0265,0.0146,6.2147,7.6777,0.1895,9.5395,2.8371,1.0513,0.0037,0.4013,99.2025,0.0344,99.1681,-12729,-19155,155, , ,CR1B_PT9,6997.83,12.4752,19,9/16/2020 18:01,Glass (on the basis of 24 O)
2 / 10 . ,0.3207,52.6989,1.7786,17.164,0.0391,0.0096,5.1434,7.9385,0.1411,8.9019,2.9839,1.1486,0.0123,0.2777,98.5583,0.0262,98.5321,-12712,-18826,157, , ,CR1B_PT10,7322.18,12.3166,20,9/16/2020 18:07,Glass (on the basis of 24 O)
2 / 11 . ,0.3165,53.4638,2.2944,16.4499,0.0631,0.0248,4.1128,7.4027,0.1267,8.9283,3.1728,1.3144,0.0101,0.7292,98.4095,0.0633,98.3461,-12182,-18826,159, , ,CR1B_PT11,7457.58,12.4582,21,9/16/2020 18:13,Glass (on the basis of 24 O)
2 / 12 . ,0.2503,54.3899,1.9784,16.8187,0.0541,0.0119,4.4063,7.6152,0.1619,8.5627,3.0401,1.2889,0.0096,0.3032,98.8912,0.0277,98.8636,-12430,-18499,152, , ,CR1B_PT12,7706.23,12.3302,22,9/16/2020 18:19,Glass (on the basis of 24 O)
2 / 13 . ,0.3526,53.1327,2.0224,15.7475,0.0535,0.033,5.2306,7.5006,0.1454,9.4609,2.9723,1.2433,0.0128,0.6073,98.5149,0.0538,98.461,-12018,-18846,157, , ,CR1B_PT13,7487.56,12.4771,23,9/16/2020 18:25,Glass (on the basis of 24 O)
2 / 14 . ,0.3553,53.0676,1.9471,16.4401,0.0332,0.022,5.3577,7.5897,0.1403,9.004,3.0083,1.1925,0.0267,0.6343,98.8189,0.0595,98.7594,-12253,-18941,153, , ,CR1B_PT14,7327.09,12.461,24,9/16/2020 18:31,Glass (on the basis of 24 O)
2 / 15 . ,0.2904,53.0518,1.6044,17.0639,0.0432,0.023,5.8464,7.6784,0.1704,8.9808,2.9354,1.1133,0.0262,0.3414,99.169,0.035,99.134,-12379,-19343,155, , ,CR1B_PT15,6905.85,12.3871,25,9/16/2020 18:37,Glass (on the basis of 24 O)
2 / 16 . ,0.3438,53.1204,2.0026,15.9167,0.0544,0.0394,6.5713,6.9528,0.1583,9.3435,2.7937,1.1541,0.0075,0.3752,98.8336,0.0331,98.8005,-12010,-19526,158, , ,CR1B_PT16,6846.88,12.3848,26,9/16/2020 18:43,Glass (on the basis of 24 O)
2 / 17 . ,0.3992,52.8677,2.0179,17.749,0.0728,0,3.849,7.6338,0.0899,8.478,3.1779,1.2867,0.0166,0.3721,98.0107,0.0352,97.9755,-13427,-19806,153, , ,CR1B_PT17,6226.63,12.2438,27,9/16/2020 18:49,Glass (on the basis of 24 O)
2 / 18 . ,0.3205,53.132,1.8246,16.1712,0.0594,0.0156,5.7626,7.8777,0.1475,9.4428,2.7973,1.0631,0.0123,0.1856,98.8122,0.0185,98.7936,-13427,-20002,156, , ,CR1B_PT18,6032.78,12.3724,28,9/16/2020 18:55,Glass (on the basis of 24 O)
2 / 19 . ,0.3531,53.2314,1.7412,17.4733,0.0458,0.0179,5.1411,7.7242,0.1399,8.6259,3.0326,1.1459,0.0011,0.1794,98.8527,0.0152,98.8374,-13427,-20374,161, , ,CR1B_PT19,5665.28,12.272,29,9/16/2020 19:01,Glass (on the basis of 24 O)
2 / 20 . ,0.3389,52.9513,1.7714,17.7383,0.0429,0.0009,4.9285,7.9358,0.1503,8.8673,3.0128,1.1763,0.0069,0.1673,99.0889,0.0157,99.0732,-13427,-20719,160, , ,CR1B_PT20,5325.03,12.3369,30,9/16/2020 19:07,Glass (on the basis of 24 O)
2 / 21 . ,0.3103,52.6351,2.0396,15.67,0.0672,0.0192,6.3416,7.6105,0.1714,9.8343,2.7793,1.1048,0.0107,0.222,98.816,0.0212,98.7949,-13759,-20623,158, , ,CR1B_PT21,5374.01,12.429,31,9/16/2020 19:13,Glass (on the basis of 24 O)
2 / 22 . ,0.3243,52.7405,1.8272,16.8494,0.0495,0.0262,5.472,7.8798,0.1495,8.897,2.9934,1.1397,0,0.413,98.7614,0.0344,98.727,-13189,-20155,161, , ,CR1B_PT22,5922.96,12.3801,32,9/16/2020 19:19,Glass (on the basis of 24 O)
2 / 23 . ,0.353,53.1493,1.9593,15.9777,0.0491,0.0487,5.655,7.7407,0.1528,9.1138,2.9101,1.1588,0,0.5175,98.7856,0.0432,98.7424,-13881,-20171,156, , ,CR1B_PT23,5812.82,12.4438,33,9/16/2020 19:25,Glass (on the basis of 24 O)
2 / 24 . ,0.3375,53.2163,1.8311,16.2732,0.0437,0.0133,5.6934,7.9126,0.1562,9.0809,2.9561,1.0958,0.0048,0.4873,99.1023,0.0418,99.0604,-13911,-19976,153, , ,CR1B_PT24,6005.06,12.4602,34,9/16/2020 19:31,Glass (on the basis of 24 O)
2 / 25 . ,0.3193,49.4689,1.9406,14.3423,0.0361,0.0293,5.4513,7.9005,0.1482,9.3098,2.6349,1.132,0.0048,0.4598,93.1779,0.0395,93.1384,-14134,-19882,152, , ,CR1B_PT25,6087.39,11.8506,35,9/16/2020 19:37,Glass (on the basis of 24 O)
3 / 1 . ,0.337,52.1435,2.1894,16.3569,0.0467,0.0475,4.6872,7.9169,0.1481,9.6316,3.1267,1.0995,0.01,0.7928,98.5335,0.0686,98.4649,-19940,-21424,140, , ,CR2A_PT1,7214.4,12.5814,36,9/16/2020 19:43,Glass (on the basis of 24 O)
3 / 2 . ,0.3161,52.974,1.7403,17.2074,0.0508,0.0529,4.6798,8.1722,0.1241,8.6892,3.2058,1.1599,0.0042,0.3013,98.6778,0.0262,98.6516,-19940,-21566,140, , ,CR2A_PT2,7125.85,12.3278,37,9/16/2020 19:49,Glass (on the basis of 24 O)
3 / 3 . ,0.3376,53.2172,1.8313,17.6136,0.0579,0.0201,4.0923,8.1361,0.1279,7.9223,3.2097,1.1473,0.018,0.8679,98.5992,0.0769,98.5223,-19940,-21805,140, , ,CR2A_PT3,6980.81,12.4131,38,9/16/2020 19:55,Glass (on the basis of 24 O)
3 / 4 . ,0.2866,53.3998,1.8149,17.2704,0.0438,0.0078,4.4449,8.1345,0.1245,8.3378,3.1442,1.0868,0,0.7333,98.8294,0.0612,98.7682,-19940,-22003,142, , ,CR2A_PT4,6864.62,12.4335,39,9/16/2020 20:01,Glass (on the basis of 24 O)
3 / 5 . ,0.1565,52.3209,2.1492,16.4299,0.0542,0.0349,4.6681,7.8862,0.1503,9.9542,2.8559,1.0282,0,1.0211,98.7097,0.0851,98.6245,-19940,-22306,143, , ,CR2A_PT5,6694.26,12.698,40,9/16/2020 20:07,Glass (on the basis of 24 O)
3 / 6 . ,0.1891,51.9618,2.5156,16.3306,0.0837,0.0181,4.4878,7.728,0.1521,10.3671,2.7956,1.007,0.0011,0.9637,98.6013,0.0806,98.5207,-19735,-22439,146, , ,CR2A_PT6,6449.89,12.7284,41,9/16/2020 20:13,Glass (on the basis of 24 O)
3 / 7 . ,0.2026,51.7619,2.4816,16.3067,0.0492,0.0412,4.3843,7.78,0.1258,10.3059,2.8442,1.0314,0.0105,0.9345,98.2599,0.0806,98.1794,-19670,-22211,147, , ,CR2A_PT7,6524.07,12.6756,42,9/16/2020 20:19,Glass (on the basis of 24 O)
3 / 8 . ,0.3548,53.1617,1.9123,16.6011,0.0656,0.0096,4.5698,8.2074,0.1107,8.6079,3.0551,1.1113,0.0079,0.702,98.4771,0.0605,98.4166,-19820,-21801,142, , ,CR2A_PT8,6887.24,12.4294,43,9/16/2020 20:25,Glass (on the basis of 24 O)
3 / 9 . ,0.1689,51.6012,1.8983,16.7429,0.0503,0.0524,4.5088,8.2927,0.1334,8.891,2.9671,1.0991,0.0058,0.4987,96.9106,0.043,96.8675,-19371,-21893,144, , ,CR2A_PT9,6477.04,12.2364,44,9/16/2020 20:31,Glass (on the basis of 24 O)
3 / 10 . ,0.315,53.5089,1.8429,17.1676,0.0516,0.036,4.3454,7.8355,0.1435,8.5633,3.1826,1.1796,0,0.6293,98.8012,0.0525,98.7488,-19139,-21905,146, , ,CR2A_PT10,6290.58,12.4187,45,9/16/2020 20:37,Glass (on the basis of 24 O)
3 / 11 . ,0.3051,52.8049,1.8777,16.9579,0.0574,0.021,4.6279,8.1025,0.1171,8.8681,3.1233,1.1427,0.0122,0.4719,98.4898,0.0424,98.4474,-19141,-21698,147, , ,CR2A_PT11,6427.65,12.3819,46,9/16/2020 20:43,Glass (on the basis of 24 O)
3 / 12 . ,0.2091,33.4132,1.6574,10.8396,0.0523,0.0369,3.5599,5.2893,0.0753,6.0389,1.856,0.6723,0.0243,0.546,64.2706,0.0516,64.219,-18935,-21410,143, , ,CR2A_PT12,6474.46,8.2051,47,9/16/2020 20:49,Glass (on the basis of 24 O)
3 / 13 . ,0,0.0466,0.0204,0.022,0.0123,0,0,0,0.01,0.0206,0,0,0.0608,0,0.1926,0.0152,0.1774,-19259,-20914,140, , ,CR2A_PT13,7054.8,0.0145,48,9/16/2020 20:55,Glass (on the basis of 24 O)
3 / 14 . ,0,0.0844,0,0.0332,0.011,0,0.0069,0.0161,0.0051,0.0258,0.0112,0.0005,0.062,0.0116,0.2678,0.0164,0.2513,-18906,-20836,140, , ,CR2A_PT14,6871.15,0.0384,49,9/16/2020 21:02,Glass (on the basis of 24 O)
3 / 15 . ,0.1665,23.6796,1.03,7.3296,0.0161,0.0182,1.7916,3.744,0.0676,3.9925,1.2273,0.5916,0.0565,0.3446,44.0557,0.0428,44.0129,-18073,-22225,149, , ,CR2A_PT15,5288.56,5.6125,50,9/16/2020 21:08,Glass (on the basis of 24 O)
3 / 16 . ,0.3356,52.2984,1.8855,16.8928,0.0656,0.0324,4.5426,8.008,0.1595,8.7995,2.9726,1.1121,0.0095,0.5285,97.6427,0.0464,97.5962,-18363,-22501,151, , ,CR2A_PT16,5313.38,12.3006,51,9/16/2020 21:14,Glass (on the basis of 24 O)
3 / 17 . ,0.3259,53.5145,1.9197,17.1548,0.0604,0.0297,3.9575,7.9691,0.1146,8.2049,3.1469,1.2116,0.0101,0.884,98.5034,0.0762,98.4272,-18164,-22501,154, , ,CR2A_PT17,5164.13,12.4396,52,9/16/2020 21:20,Glass (on the basis of 24 O)
3 / 18 . ,0.3388,53.0535,1.8888,17.1874,0.0293,0.0187,4.3334,7.8929,0.1413,8.5847,3.2681,1.1301,0,0.8112,98.6784,0.0676,98.6107,-18327,-22743,155, , ,CR2A_PT18,5130.74,12.4638,53,9/16/2020 21:26,Glass (on the basis of 24 O)
3 / 19 . ,0.3454,53.2161,1.9153,16.2403,0.0314,0.0306,5.0811,8.3137,0.1458,8.791,2.984,1.1168,0.0016,0.6359,98.849,0.0534,98.7956,-17653,-22906,153, , ,CR2A_PT19,4513.71,12.4775,54,9/16/2020 21:32,Glass (on the basis of 24 O)
3 / 20 . ,0.2405,52.9942,1.8946,16.1813,0.0507,0.0109,5.3403,8.0603,0.1442,9.2525,2.9276,1.0539,0.0143,0.6954,98.8606,0.0616,98.7991,-17647,-22399,154, , ,CR2A_PT20,4867.61,12.5286,55,9/16/2020 21:38,Glass (on the basis of 24 O)
3 / 21 . ,0.2732,53.1028,1.8967,16.7435,0.0211,0.0365,5.1427,7.9769,0.154,9.0305,2.9219,1.0244,0.0101,0.5816,98.9158,0.051,98.8648,-17410,-22393,154, , ,CR2A_PT21,4714.1,12.4684,56,9/16/2020 21:44,Glass (on the basis of 24 O)
3 / 22 . ,0.2875,53.2295,1.9152,16.4454,0.057,0.0451,5.0456,8.0281,0.1212,8.9822,3.1009,1.1025,0.0159,0.5803,98.9564,0.0524,98.904,-17392,-21941,150, , ,CR2A_PT22,5054.39,12.476,57,9/16/2020 21:50,Glass (on the basis of 24 O)
3 / 23 . ,0.3222,52.8422,1.7836,17.1963,0.0074,0.021,4.8901,8.1826,0.1385,8.6132,3.0476,1.0363,0,0.4972,98.5782,0.0415,98.5367,-17415,-21647,149, , ,CR2A_PT23,5304.83,12.3599,58,9/16/2020 21:56,Glass (on the basis of 24 O)
3 / 24 . ,0.3116,49.3709,1.7007,15.9336,0.0653,0.0315,4.391,7.6475,0.1444,8.0772,2.6316,1.0277,0.0106,0.4399,91.7833,0.0393,91.744,-17413,-21504,145, , ,CR2A_PT24,5420.78,11.5251,59,9/16/2020 22:02,Glass (on the basis of 24 O)
3 / 25 . ,0.3069,52.2132,1.5126,18.3568,0.0523,0.0183,3.7902,8.1822,0.1253,7.4185,3.0969,1.1584,0,0.7006,96.9322,0.0584,96.8737,-20298,-21961,140, , ,CR2A_PT25,7183.26,12.1086,60,9/16/2020 22:08,Glass (on the basis of 24 O)
4 / 1 . ,0.417,54.5625,2.0331,15.7627,0.0623,0.0342,4.9579,7.256,0.1705,9.0694,3.0923,1.2628,0.0074,0.4646,99.1527,0.0406,99.1121,-19668,-25707,154, , ,CR2B_PT1,5339.36,12.449,61,9/16/2020 22:14,Glass (on the basis of 24 O)
4 / 2 . ,0.2818,52.9598,1.7083,15.207,0.0338,0.0473,7.369,7.3369,0.1437,9.4945,2.7602,1.06,0.0132,0.5702,98.9856,0.0508,98.9348,-19997,-25707,156, , ,CR2B_PT2,5667.98,12.4746,62,9/16/2020 22:20,Glass (on the basis of 24 O)
4 / 3 . ,0.281,52.5669,1.6921,18.0835,0.036,0.0467,4.8671,9.0765,0.1091,7.6932,3.0105,0.9037,0.0138,0.751,99.1311,0.0661,99.065,-20607,-25707,154, , ,CR2B_PT3,6277.41,12.4352,63,9/16/2020 22:26,Glass (on the basis of 24 O)
4 / 4 . ,0.3486,53.4361,1.7333,18.8343,0.0423,0.0514,3.9071,8.3576,0.1052,7.3224,3.3092,1.147,0.0011,0.0723,98.668,0.0063,98.6617,-21141,-25707,154, , ,CR2B_PT4,6810.98,12.109,64,9/16/2020 22:32,Glass (on the basis of 24 O)
4 / 5 . ,0.2349,51.622,1.524,19.7871,0.0398,0.0266,3.8509,9.6979,0.1077,6.7991,3.0398,0.8375,0,0.9206,98.4879,0.0768,98.4111,-20833,-25574,154, , ,CR2B_PT5,6509.87,12.3387,65,9/16/2020 22:38,Glass (on the basis of 24 O)
4 / 6 . ,0.2976,52.2483,1.9032,16.2475,0.0424,0.0386,5.6005,7.7751,0.1489,9.6749,2.9276,0.9624,0.0074,0.5622,98.4367,0.0487,98.388,-21371,-25673,149, , ,CR2B_PT6,7042.18,12.4676,66,9/16/2020 22:44,Glass (on the basis of 24 O)
4 / 7 . ,0.3298,52.7755,1.7623,17.3719,0.0594,0.0465,4.827,7.6775,0.136,8.7993,3.0649,1.0598,0.0058,0.6767,98.5926,0.0579,98.5347,-21585,-25737,148, , ,CR2B_PT7,7253.7,12.4159,67,9/16/2020 22:50,Glass (on the basis of 24 O)
4 / 8 . ,0.3302,53.3777,2.0868,15.2816,0.0564,0.0341,5.3647,7.7552,0.1514,9.6193,2.8547,1.1669,0.0116,0.7476,98.8381,0.0652,98.7729,-21637,-26060,151, , ,CR2B_PT8,7302.67,12.5887,68,9/16/2020 22:56,Glass (on the basis of 24 O)
4 / 9 . ,0.3582,52.9555,2.2695,16.0457,0.0511,0.0337,4.6614,7.6184,0.1466,9.3486,2.964,1.2529,0.0069,0.8325,98.5448,0.0711,98.4737,-21641,-26431,154, , ,CR2B_PT9,7320.84,12.5608,69,9/16/2020 23:02,Glass (on the basis of 24 O)
4 / 10 . ,0.3624,53.5449,1.7288,18.0999,0.0513,0.0087,4.2009,7.7397,0.1426,8.4739,3.1066,1.3053,0.0085,0.2724,99.046,0.0248,99.0211,-21222,-26431,154, , ,CR2B_PT10,6902.74,12.3178,70,9/16/2020 23:08,Glass (on the basis of 24 O)
4 / 11 . ,0.3691,52.7771,2.1165,16.398,0.0726,0.0337,5.0974,7.5931,0.1289,9.2997,2.923,1.1363,0,0.7949,98.7402,0.0663,98.6739,-20832,-26431,159, , ,CR2B_PT11,6513.66,12.5445,71,9/16/2020 23:14,Glass (on the basis of 24 O)
4 / 12 . ,0.3708,50.9039,2.1635,16.9156,0.0635,0.0303,4.7277,7.2616,0.1454,11.4022,2.9204,1.1232,0.0079,0.7749,98.811,0.0666,98.7444,-20655,-26564,156, , ,CR2B_PT12,6348.28,12.7658,72,9/16/2020 23:20,Glass (on the basis of 24 O)
4 / 13 . ,0.2248,52.9842,1.2038,20.6941,0.027,0.0298,4.0337,8.1826,0.1046,7.1373,3.2887,1.1267,0.0117,0.1626,99.2117,0.0165,99.1952,-20821,-26926,160, , ,CR2B_PT13,6556.7,12.1282,73,9/16/2020 23:26,Glass (on the basis of 24 O)
4 / 14 . ,0.351,53.1739,1.6163,17.9422,0.0252,0.0365,4.9523,7.5803,0.1519,8.4298,3.1813,1.1269,0,0.5941,99.162,0.0495,99.1124,-21016,-26926,159, , ,CR2B_PT14,6749.66,12.3965,74,9/16/2020 23:32,Glass (on the basis of 24 O)
4 / 15 . ,0.3562,52.901,2.178,16.1627,0.0652,0.0246,5.0322,7.6849,0.1453,8.877,3.1785,1.0886,0.0016,1.1537,98.8495,0.0966,98.7529,-21214,-26830,158, , ,CR2B_PT15,6933.09,12.6265,75,9/16/2020 23:38,Glass (on the basis of 24 O)
4 / 16 . ,0.3544,52.8489,1.797,17.4143,0.0707,0.0142,4.7756,7.6744,0.1533,8.4436,3.1602,1.1818,0.0154,0.878,98.7817,0.077,98.7046,-21980,-26778,155, , ,CR2B_PT16,7688.05,12.4689,76,9/16/2020 23:44,Glass (on the basis of 24 O)
4 / 17 . ,0.2605,52.6431,1.5001,17.4419,0.0542,0.0502,5.4131,8.1124,0.1534,8.6056,3.0236,1.0288,0.0106,0.4232,98.7208,0.0379,98.6829,-21851,-26917,154, , ,CR2B_PT17,7575.98,12.337,77,9/16/2020 23:50,Glass (on the basis of 24 O)
4 / 18 . ,0.3521,54.0716,2.0993,16.5506,0.055,0.011,4.51,7.5741,0.1537,8.6972,2.9876,1.199,0.008,0.5878,98.8571,0.051,98.8061,-21552,-27273,154, , ,CR2B_PT18,7334.45,12.4287,78,9/16/2020 23:56,Glass (on the basis of 24 O)
4 / 19 . ,0.3377,54.0632,1.7119,17.3898,0.048,0.0476,4.3313,7.49,0.1181,8.1073,3.1816,1.3202,0.0218,0.8509,99.0193,0.0764,98.9429,-21212,-27481,161, , ,CR2B_PT19,7041.93,12.4412,79,9/17/2020 0:02,Glass (on the basis of 24 O)
4 / 20 . ,0.3284,52.7689,1.9157,14.801,0.0317,0.0632,7.0247,6.9163,0.1538,9.5349,2.7379,1.1177,0.0095,0.7412,98.1449,0.0642,98.0807,-21263,-27910,163, , ,CR2B_PT20,7195.6,12.4369,80,9/17/2020 0:08,Glass (on the basis of 24 O)
4 / 21 . ,0.3371,53.2157,2.0123,15.6461,0.047,0.0706,6.2143,7.2709,0.155,9.5236,2.9069,1.1391,0.0117,0.5709,99.1212,0.0505,99.0707,-21317,-28129,160, , ,CR2B_PT21,7309.4,12.518,81,9/17/2020 0:14,Glass (on the basis of 24 O)
4 / 22 . ,0.3352,52.8941,1.8363,16.5054,0.0401,0.0561,5.9909,7.5321,0.1512,8.918,2.905,1.1211,0.0101,0.4528,98.7484,0.0403,98.7081,-20983,-28177,164, , ,CR2B_PT22,7006.05,12.3746,82,9/17/2020 0:20,Glass (on the basis of 24 O)
