Formula,P2O5,SiO2,TiO2,Al2O3,V2O3,Cr2O3,MgO,CaO,MnO,FeO,ZnO,Na2O,K2O,S,Total,Mineral,Comment
34 / 1 . ,0.0268,59.441,0.2205,23.2943,,0.0295,0.3993,6.7915,0.0446,1.6778,,6.0077,1.0394,0.013,98.9854,Plagiolase,CR31_3 PT9
35 / 1 . ,0.0791,55.6958,0.2341,26.8088,,0.0236,0.1705,10.0082,0.0111,1.2778,,5.496,0.4986,0.0085,100.3121,Plagiolase,CR31_3 PT10
1 / 1 . ,0.0537,66.4181,0.1132,20.5822,,0.0000,0.0306,3.3889,0.0000,0.5845,,6.8472,3.1695,0.0000,101.1878,Invalid,CR32_1 PT2
2 / 1 . ,0.0275,57.6468,0.2051,26.8483,,0.0136,0.0689,9.4529,0.0000,1.3028,,5.9773,0.6827,0.0085,102.2344,Invalid,CR32_1 PT3
3 / 1 . ,0.0000,70.2912,0.1212,18.9860,,0.0000,0.0464,0.7730,0.0000,0.7459,,4.0200,10.7124,0.0148,105.7109,Invalid,CR32_1 PT4
4 / 1 . ,0.0452,56.7175,0.1105,26.4845,,0.0018,0.0972,9.4501,0.0275,1.2095,,5.6889,0.6020,0.0053,100.4399,Plagiolase,CR32_1 PT5
5 / 1 . ,0.0070,65.9987,0.1263,18.5901,,0.0000,0.0146,0.8123,0.0000,0.4632,,2.7220,12.2766,0.0216,101.0323,Invalid,CR32_2 PT1
6 / 1 . ,0.0130,66.5596,0.1081,16.9160,,0.0073,0.0019,0.5738,0.0163,0.7446,,1.9364,12.5926,0.0084,99.4780,Kspar?,CR32_2 PT2
7 / 1 . ,0.0088,75.4499,0.1356,12.8229,,0.0297,0.0302,0.4662,0.0030,0.8104,,1.5857,8.3809,0.0000,99.7232,Glass,CR32_2 PT3
8 / 1 . ,0.0065,66.0244,0.0792,18.0769,,0.0164,0.0089,0.3892,0.0393,0.4200,,1.8428,13.5994,0.0074,100.5104,Kspar?,CR32_2 PT4
9 / 1 . ,0.0366,56.4852,0.1981,26.3267,,0.0000,0.0628,9.4867,0.0279,1.2407,,5.5155,0.6808,0.0057,100.0668,Plagiolase,CR32_2 PT5
10 / 1 . ,0.0245,95.1179,0.2087,2.1934,,0.0224,0.0293,0.3309,0.0031,0.4354,,0.6309,0.0541,0.0045,99.0550,Quartz,CR32_2 PT6
11 / 1 . ,0.0198,92.3044,0.3764,3.9240,,0.0376,0.0110,0.6541,0.0150,0.5537,,0.8607,0.1908,0.0055,98.9529,Quartz,CR32_2 PT7
12 / 1 . ,0.1450,87.1742,0.2515,5.9982,,0.0000,0.0198,0.6936,0.0000,0.5231,,1.1726,2.3362,0.0033,98.3177,Glass,CR32_2 PT8
13 / 1 . ,1.4429,81.7661,0.1468,7.0822,,0.0000,0.0301,2.3362,0.0149,0.4864,,0.8340,2.8587,0.0239,97.0223,Glass,CR32_2 PT9
14 / 1 . ,0.0319,54.6895,0.1930,26.6749,,0.0019,0.0973,10.3674,0.0000,1.2156,,5.2812,0.3852,0.0065,98.9445,Plagiolase,CR32_2 PT10
15 / 1 . ,0.0236,95.2887,0.1764,2.5817,,0.0037,0.0000,0.4246,0.0091,0.3189,,0.6462,0.1962,0.0033,99.6723,Quartz,CR32_2 PT11
16 / 1 . ,0.0000,79.0091,0.2652,10.8676,,0.0191,0.0000,0.5576,0.0000,0.6348,,1.6207,7.0552,0.0000,100.0292,Glass,CR32_2 PT12
17 / 1 . ,0.0352,56.4178,0.2251,26.8276,,0.0225,0.1001,9.6937,0.0016,1.2680,,5.6644,0.4289,0.0000,100.6847,Plagiolase,CR32_2 PT13
18 / 1 . ,0.0930,82.8128,0.2138,8.3063,,0.0075,0.0067,1.3015,0.0350,0.6298,,1.7986,2.0318,0.0011,97.2378,Glass,CR32_2 PT14
19 / 1 . ,0.0000,92.4778,0.1184,3.5147,,0.0327,0.0000,0.2341,0.0000,0.3063,,0.9866,0.5462,0.0034,98.2203,Quartz,CR32_1 PT4
20 / 1 . ,0.0462,60.9564,0.1429,24.0454,,0.0166,0.0088,6.1716,0.0064,0.7097,,6.9252,1.2778,0.0207,100.3277,Plagiolase,CR32_1 PT8
21 / 1 . ,0.0304,65.6572,0.1245,22.0411,,0.0093,0.0157,4.1078,0.0000,0.5494,,7.2940,2.3047,0.0044,102.1385,Invalid,CR32_1 PT9
22 / 1 . ,0.0235,77.5490,0.1830,12.4129,,0.0286,0.0122,0.5164,0.0008,0.5231,,2.0675,7.3645,0.0011,100.6825,Glass,CR32_1 PT10
23 / 1 . ,0.0241,56.9610,0.1032,26.1528,,0.0194,0.0603,8.8316,0.0000,1.0005,,6.1418,0.5235,0.0065,99.8247,Plagiolase,CR32_1 PT11
24 / 1 . ,0.0338,75.9908,0.1435,12.8693,,0.0000,0.0086,0.4599,0.0000,0.5342,,2.2933,7.7052,0.0000,100.0384,Glass,CR32_1 PT12
25 / 1 . ,0.3401,67.8801,0.3840,16.7540,,0.0315,0.0526,2.2955,0.0053,1.7423,,2.6283,0.6467,0.0144,92.7748,Invalid,CR32_1 PT13
32 / 1 . ,0.0059,52.3777,0.0935,28.696,,0.0037,0.1744,12.2853,0.0263,1.0169,,4.4511,0.2202,0.0107,99.3618,Plagioclase,CR41_2PT2
33 / 1 . ,0.0019,51.3083,0.7673,1.855,,0.0374,18.9369,12.0032,0.3644,13.1522,,0.1584,0.0469,0.0189,98.6509,Pyroxene,CR41_2PT3
34 / 1 . ,0.3268,52.8702,1.3634,4.9676,,0.058,12.1471,10.0288,0.3163,16.5965,,0.603,1.4986,0.0021,100.7785,Pyroxene,CR41_2PT4
17 / 1 . ,0.4051,60.7624,0.2686,21.4211,,0.0202,1.444,7.6314,0.0556,1.827,,4.8526,0.5323,0,99.2203,Plagioclase,CR42_1 PT1
18 / 1 . ,0.1751,72.74,0.2011,13.5887,,0.0236,0.0618,0.6948,0,0.7964,,1.7299,9.3133,0.0202,99.345,Glass,CR42_1 PT2
19 / 1 . ,0.0113,55.4414,0.1944,26.7999,,0.0239,0.1396,10.1186,0.0128,1.2698,,4.967,0.3939,0.0161,99.3886,Plagioclase,CR42_1 PT3
20 / 1 . ,0.0318,53.0593,0.16,26.9586,,0,0.1834,11.1045,0.0126,1.2125,,4.4625,0.3137,0.0063,97.5051,Plagioclase,CR42_1 PT4
21 / 1 . ,0.3034,61.8899,0.5895,20.3465,,0.0239,0.6358,6.9335,0.0053,1.3272,,4.9321,1.0526,0.0065,98.0462,Plagioclase,CR42_1 PT5
22 / 1 . ,0.0725,69.0234,0.4726,17.6013,,0.0078,0.0313,3.7274,0.0008,0.9541,,3.3457,4.3774,0.0207,99.635,Glass,CR42_1 PT6
23 / 1 . ,0.0624,58.3045,0.1648,25.7677,,0.0055,0.0771,8.7568,0.021,1.1007,,5.8838,0.4887,0.0193,100.6521,Plagioclase,CR42_1 PT7
24 / 1 . ,0.0402,58.0543,0.2021,24.2592,,0.0225,0.101,8.0802,0.016,1.4233,,5.4361,0.8964,0.0206,98.5518,Plagioclase,CR42_1 PT8
25 / 1 . ,0.067,56.9071,0.2155,26.8493,,0,0.106,9.1103,0.0391,1.3535,,6.0306,0.5873,0.0064,101.2723,Invalid,CR42_1 PT9
26 / 1 . ,0.0199,57.8773,0.1877,26.899,,0,0.1341,9.4476,0.0045,1.2493,,6.0015,0.4657,0.0097,102.2963,Invalid,CR42_1 PT10
27 / 1 . ,0.0313,60.3928,0.1744,23.8265,,0,0.0649,6.7389,0.003,1.0821,,5.6951,1.8723,0,99.8812,Plagioclase,CR42_2 PT1
28 / 1 . ,0.1743,74.8162,0.2221,11.6516,,0,0.105,0.6541,0,0.6834,,1.9771,8.3815,0,98.6653,Glass,CR42_2 PT2
29 / 1 . ,0.0669,57.8812,0.1495,25.8821,,0.0107,0.106,8.7573,0.035,1.192,,5.9415,0.5954,0.0023,100.6199,Plagioclase,CR42_2 PT3
30 / 1 . ,0.4898,70.8486,0.9152,14.6965,,0.0018,0.0249,1.0935,0,2.5208,,1.9189,9.0103,0.0129,101.5331,Invalid,CR42_2 PT4
31 / 1 . ,0.0607,56.7982,0.1834,27.3588,,0,0.2616,9.7602,0.0288,1.8267,,5.4662,0.3455,0,102.0902,Invalid,CR42_2 PT5
32 / 1 . ,0.124,51.7047,1.3772,3.5868,,0,14.1745,15.625,0.3441,13.5639,,0.2213,0.1003,0.0124,100.8343,Pyroxene,CR42_2 PT6
33 / 1 . ,0.065,58.1903,0.2676,24.8079,,0,0.0644,8.6325,0.0064,1.1149,,5.0564,0.8494,0.0057,99.0604,Plagioclase,CR42_2 PT7
13 / 1 . ,0.2047,55.394,0.3571,24.0693,,0.0249,0.0967,8.5997,0.0075,1.4138,,4.6782,0.465,0.0043,95.3152,Plagioclase,CR42_3 PT1
14 / 1 . ,0.4219,68.8894,0.7739,15.4978,,0.0185,0.057,3.618,0,2.4964,,2.8962,4.7795,0.0023,99.4507,Glass,CR42_3 PT2
15 / 1 . ,0.0807,55.9364,0.3983,20.2205,,0,5.0561,9.4981,0.1758,7.5814,,3.7139,0.2698,0.0101,102.9409,Invalid,CR42_3 PT3
1 / 1 . ,0.0573,46.4528,2.7825,2.0726,,0,13.3772,12.4456,0.4264,20.8304,,0.2239,0.1798,0.0122,98.8606,Pyroxene,CR43_1 PT1
2 / 1 . ,0.5729,73.1579,1.3253,11.8783,,0.0036,0.2421,1.5467,0.0601,2.7331,,2.4908,6.3407,0.0117,100.3633,Glass,CR43_1 PT2
3 / 1 . ,0.5495,69.9347,0.4606,16.2705,,0.0009,0.0486,3.806,0.0507,1.7677,,3.849,3.6919,0,100.4301,Glass,CR43_1 PT3
4 / 1 . ,0.233,65.0184,0.4053,21.0846,,0,0.0481,6.2254,0,1.1985,,5.1723,1.7558,0,101.1415,Invalid,CR43_1 PT4
5 / 1 . ,0.3141,68.4152,0.5992,15.3403,,0,0.2637,3.2263,0.0347,2.1995,,3.4148,4.8032,0.0011,98.6122,Glass,CR43_1 PT5
6 / 1 . ,0.2959,73.6526,1.656,11.1482,,0.0129,0.4636,1.3122,0.0519,2.8506,,1.8735,6.5277,0.0065,99.8515,Glass,CR43_1 PT6
7 / 1 . ,,0.1675,3.9471,2.8414,0.5235,0.0442,0.2374,0.1692,0.2074,84.3444,0.1222,,,,92.6042,Ti-Magnetite,CR43_1 PT7
8 / 1 . ,,51.9296,3.3945,12.6803,0.0778,0.0661,4.0729,6.0291,0.1899,14.8919,0.0353,,,,93.3673,Invalid,CR43_1 PT8
9 / 1 . ,,0.2378,9.1765,4.1415,0.6792,0.6074,0.8758,0.0341,0.2713,80.1138,0.1015,,,,96.2389,Ti-Magnetite,CR43_1 PT9
18 / 1 . ,,0.1145,48.7366,1.0636,0.1737,0.2461,2.7219,0.0302,0.5642,46.3559,0.1234,,,,100.1301,Ilmenite,CR43_1 PT10
10 / 1 . ,0.1622,53.5735,1.0129,2.8716,,0.0028,18.3902,7.5946,0.4156,17.2282,,0.4064,0.2237,0,101.8818,Invalid,CR43_2 PT1
11 / 1 . ,0.1331,73.2067,0.7631,15.0327,,0,0.0366,1.0561,0.0302,1.6387,,2.382,6.2984,0.0011,100.5787,Glass,CR43_2 PT2
12 / 1 . ,0.2628,73.8477,1.2174,12.8062,,0.0019,0.132,0.8671,0,1.9608,,1.4697,8.1552,0.0227,100.7435,Glass,CR43_2 PT3
13 / 1 . ,0.365,67.8413,1.0096,13.5552,,0.0127,0.909,4.0805,0.0775,2.6995,,2.6614,4.4154,0.0021,97.6292,Glass,CR43_2 PT4
14 / 1 . ,1.8388,61.2399,0.8337,18.1569,,0,0.395,7.1714,0.0396,2.5659,,3.4016,2.6738,0.0238,98.3403,Glass,CR43_2 PT5
15 / 1 . ,0.742,63.8386,0.3209,20.2804,,0,0.0267,6.5373,0.0293,1.0973,,5.1333,2.1932,0.0065,100.2054,Plagioclase,CR43_2 PT6
16 / 1 . ,,0.1268,15.8511,3.2025,0.5336,0.6021,1.0994,0.2367,0.3864,71.6437,0.1895,,,,93.8717,Magnetite,CR43_2 PT7
17 / 1 . ,,0.2713,5.3706,4.2052,0.526,0.0798,0.6484,0.2149,0.2132,81.386,0.1983,,,,93.1138,Magnetite,CR43_2 PT8
20 / 1 . ,1.1401,74.7115,0.5323,12.8103,,0,0.038,3.0862,0.0158,0.6932,,3.722,1.7997,0.0011,98.5502,Glass,CR51_1 PT2
21 / 1 . ,0.6884,63.6716,1.1154,18.3827,,0,0.6796,6.262,0.0622,2.751,,5.0123,1.8161,0.0172,100.4586,Plagioclase,CR51_1 PT3
22 / 1 . ,0.4572,58.4469,2.0374,15.7037,,0.0036,2.1888,6.1061,0.1003,7.52,,3.9257,0.9542,0.0011,97.4451,,CR51_1 PT4
23 / 1 . ,1.2696,64.3706,3.0799,14.5774,,0,0.4081,2.3808,0.0339,3.9054,,3.8227,8.3015,0,102.1498,Invalid,CR51_1 PT5
24 / 1 . ,1.0119,67.1862,0.8012,17.4209,,0,0.0732,5.4293,0.0334,1.5248,,4.8312,1.6063,0.0149,99.9334,Glass,CR51_1 PT6
25 / 1 . ,0.2179,58.9056,0.2331,25.3476,,0,0.1089,8.8947,0.0233,1.3108,,6.1233,0.6312,0,101.7965,Invalid,CR51_1 PT7
26 / 1 . ,,0.0722,2.4586,2.4811,0.8311,0.1641,0.797,0.039,0.1945,87.0192,0.1372,,,,94.1941,Magnetite,CR51_1 PT8
27 / 1 . ,,0.1147,38.521,0.9391,0.3656,0.0676,3.0413,0.085,0.7448,53.7316,0.1038,,,,97.7145,Ilmenite,CR51_1 PT9
28 / 1 . ,0.5644,72.2142,1.3181,12.1262,,0,0.2206,1.642,0.0467,3.2706,,2.5465,5.9278,0.0023,99.8794,Glass,CR51_2 PT1
29 / 1 . ,0.2138,70.1556,0.599,16.8627,,0,0.079,3.1475,0.0207,1.6381,,4.5931,4.0488,0.0172,101.3754,Invalid,CR51_2 PT2
30 / 1 . ,3.1999,67.7899,2.8557,9.394,,0.0288,0.4204,4.3623,0.1145,5.2826,,1.835,5.268,0,100.551,Glass,CR51_2 PT3
31 / 1 . ,0.1564,67.1576,0.4666,16.3784,,0,0.0987,0.4778,0.0255,2.0837,,1.9856,11.4566,0,100.2871,Glass,CR51_2 PT4
32 / 1 . ,1.7731,66.1797,2.0001,14.2331,,0.0106,0.2543,3.5699,0.0356,3.8009,,2.4183,5.7131,0.0068,99.9955,Glass,CR51_2 PT5
33 / 1 . ,0.1515,74.0918,0.0821,14.7247,,0.0064,0.1452,0.8239,0.0105,5.4908,,1.7322,6.0253,0,103.2843,Invalid,CR51_2 PT6
1 / 1 . ,0.0199,54.4633,0.148,26.7167,,0,0.15,10.0476,0,1.1064,,4.9793,0.4112,0.0011,98.0436,Plagioclase,test 5-3 pt1
2 / 1 . ,0.0029,93.7284,0.1314,2.6992,,0,0,0.4287,0.0152,0.3483,,0.895,0.0577,0.0153,98.3222,Quartz,test 5-3 pt2
3 / 1 . ,0.0544,55.4074,0.1542,25.3865,,0,0.1111,8.8809,0,1.3196,,5.5264,0.3126,0.0054,97.1584,Plagioclase,test 5-3 pt3
4 / 1 . ,0.6856,58.5829,0.9287,22.3799,,0,0.1548,8.023,0.0325,1.8641,,5.4254,0.4852,0.0193,98.5813,Plagioclase,test 4-1
4 / 2 . ,1.191,63.4629,0.9266,16.562,,0.0029,0.5669,6.7456,0.0214,2.5556,,3.9854,0.6602,0.0023,96.6828,Glass,CR53_test 4-2
4 / 3 . ,1.1585,60.5654,2.9544,15.3033,,0,0.5449,3.8455,0.0456,6.1178,,2.8764,3.3627,0.009,96.7835,Glass,CR53_test 4-3
4 / 4 . ,0.1556,58.1391,0.8266,22.4381,,0.0077,0.4955,7.8609,0.0309,2.3404,,4.8898,0.4254,0.0079,97.618,Plagioclase,CR53_test 4-4
4 / 5 . ,0.0042,54.3591,0.2164,26.0983,,0,0.2173,9.5802,0.0182,1.2562,,5.3551,0.3663,0.0034,97.4748,Plagioclase,CR53_test 4-5
4 / 6 . ,0.9668,62.1978,1.2802,19.9959,,0,0.1082,6.7544,0.004,1.7727,,4.5182,2.0527,0,99.6508,Plagioclase,CR53_test 4-6
5 / 1 . ,1.1658,64.6069,1.9594,15.6221,,0,0.1226,4.8874,0.009,3.3502,,3.5355,3.0452,0.0054,98.3096,Glass,CR53_1 PT5
6 / 1 . ,0.3045,58.4806,0.8174,20.9789,,0,0.1318,7.7399,0.0167,3.0799,,3.696,0.2846,0.0034,95.5338,Plagioclase,CR53_1 PT6
7 / 1 . ,1.1115,70.7456,1.2547,11.3017,,0.032,0.1544,3.6977,0.0382,3.2212,,2.4183,2.8611,0.0065,96.8428,Glass,CR53_1 PT7
8 / 1 . ,0.1635,62.6212,0.7483,17.5303,,0.0039,0.0471,1.7824,0,2.1396,,4.0087,7.2628,0.0159,96.3236,Glass,CR53_1 PT8
9 / 1 . ,1.7716,63.6585,1.1698,12.2859,,0.0126,0.296,1.0748,0.0056,2.6556,,1.8176,7.86,0.0182,92.6262,Invalid,CR53_2 PT1
10 / 1 . ,0.0556,64.2021,4.2817,12.2201,,0.0238,0.0886,1.0625,0.0374,1.5975,,1.7955,9.0504,0.0074,94.4227,Invalid,CR53_2 PT2
11 / 1 . ,1.9258,61.7574,0.3208,13.8193,,0,0.0025,2.2634,0.0089,0.5021,,2.1771,9.7823,0.0158,92.5754,Invalid,CR53_2 PT3
12 / 1 . ,0.3933,57.1053,1.9996,15.8767,,0.0219,1.5157,5.3226,0.1019,5.0609,,4.6061,1.462,0.0032,93.4693,Invalid,CR53_2 PT4
13 / 1 . ,0.4804,56.3516,1.5516,15.0174,,0,2.4216,6.5634,0.0647,5.494,,5.1471,1.0973,0.0147,94.2038,Invalid,CR53_2 PT5
14 / 1 . ,0.4786,52.6272,2.3847,13.2131,,0.0107,2.2152,5.3758,0.1089,7.6875,,4.3241,1.2591,0.0361,89.721,Invalid,CR53_2 PT6
15 / 1 . ,0.6051,56.0775,1.7348,13.0795,,0,0.9056,4.7579,0.0707,8.2732,,3.6655,1.5843,0.009,90.7632,Invalid,CR53_2 PT7
16 / 1 . ,0.4739,53.6376,2.4816,13.685,,0,1.9458,4.6264,0.1066,8.6717,,3.6474,2.2778,0,91.554,Invalid,CR53_2 PT8
1 / 1 . ,0,98.1807,0.2805,1.5535,,0.0091,0,0.0791,0,0.217,,0.707,0.1206,0,101.1476,,CR72_1 Pt2
2 / 1 . ,0.0168,65.0181,0.1286,20.32,,0.0213,0.0036,2.0261,0,0.5209,,6.2749,6.0897,0.0217,100.4418,,CR72_1 Pt3
3 / 1 . ,0.0141,61.0656,0.0307,25.2782,,0,0.0179,6.8366,0,0.7314,,7.799,0.7899,0.0054,102.5687,,CR72_1 Pt4
4 / 1 . ,0,57.6138,0.1163,25.7388,,0,0.0998,8.6213,0,1.028,,6.0185,0.8851,0.0079,100.1296,,CR72_1 Pt5
5 / 1 . ,0,95.3801,0.2475,2.7022,,0.022,0.0114,0.1936,0,0.4428,,0.6279,0.625,0.0154,100.268,,CR72_1 Pt6
6 / 1 . ,0.0543,62.9827,0.1022,22.7186,,0.0126,0.0134,4.826,0,0.6176,,7.991,1.5198,0.008,100.8461,,CR72_1 Pt7
7 / 1 . ,0.0255,78.7706,0.1977,13.7389,,0,0.0177,0.8552,0.006,0.4341,,3.1699,3.6166,0,100.8322,,CR72_1 Pt8
8 / 1 . ,0,83.4268,0.2577,9.0999,,0.0149,0.0253,0.1981,0.0076,0.5393,,1.3747,5.6335,0.0209,100.5987,,CR72_1 Pt9
9 / 1 . ,0,97.171,0.2014,1.2185,,0.0092,0,0.0796,0.0128,0.2871,,0.5147,0.308,0.0055,99.808,,CR72_2 Pt1
10 / 1 . ,0.0272,85.0538,0.3822,7.8386,,0.0547,0.0215,0.6099,0.0254,0.5174,,2.329,2.2335,0.0124,99.1056,,CR72_2 Pt2
11 / 1 . ,0.0056,98.1078,0.1037,1.349,,0.0206,0.0429,0.114,0,0.546,,0.6187,0.0138,0.0045,100.9266,,CR72_2 Pt3
12 / 1 . ,0.023,98.3925,0.2034,1.2178,,0.0176,0.0077,0.11,0.0152,0.235,,0.5845,0.0471,0.0022,100.856,,CR72_2 Pt4
13 / 1 . ,0.0082,78.1471,0.2902,12.4988,,0.0112,0.0196,1.1344,0.0486,0.3474,,3.5919,4.1816,0.0022,100.2813,,CR72_2 Pt5
14 / 1 . ,0.0022,84.5479,0.2538,8.6207,,0.0088,0.0127,0.5912,0,0.2957,,2.6979,2.8705,0.0186,99.9199,,CR72_2 Pt6
15 / 1 . ,0.0387,59.9357,0.1318,24.809,,0.0203,0.0486,6.9538,0.0346,0.7679,,7.0826,0.9892,0,100.8121,,CR72_2 Pt7
16 / 1 . ,0.0337,71.8265,0.2892,16.2759,,0,0.007,2.425,0,0.8578,,6.7254,0.5075,0.0069,98.9549,,CR72_2 Pt8
17 / 1 . ,0,90.9233,0.1605,4.8982,,0,0,0.1452,0,0.4159,,1.2215,2.8268,0.0111,100.6024,,CR72_2 Pt9
18 / 1 . ,0.0099,62.5985,0.087,24.8989,,0.033,0.0238,6.2859,0.0071,0.6899,,7.2905,1.1315,0.0148,103.0708,,CR72_2 Pt10
19 / 1 . ,0,86.4107,0.268,7.2514,,0.0112,0.0044,0.2774,0,0.3275,,1.3759,3.8415,0.0178,99.7858,,CR72_2 Pt11
